GPIO0,GPIO0,P2
GPIO1,GPIO1,P1
GPIO2,GPIO2,P8
GPIO3,GPIO3,P0
GPIO4,GPIO4,P3
GPIO5,GPIO5,P5
GPIO12,GPIO12,P9
GPIO13,GPIO13,P10
GPIO14,GPIO14,P23
GPIO15,GPIO15,P4
GPIO16,GPIO16,
GPIO17,GPIO17,
GPIO18,GPIO18,
GPIO19,GPIO19,P7
GPIO21,GPIO21,P12
GPIO22,GPIO22,P11
GPIO23,GPIO23,
GPIO25,GPIO25,P22
GPIO26,GPIO26,P21
GPIO27,GPIO27,P6
GPIO32,GPIO32,P19
GPIO33,GPIO33,P20
GPI34,GPI34,P18
GPI35,GPI35,P17
GPI36,GPI36,P13
GPI37,GPI37,P14
GPI38,GPI38,P15
GPI39,GPI39,P16
